,Sample,Actual_Control_CR,Actual_Treatment_CR,Round,Control_Clicks,Control_Sale,Control_CR,Treatment_Clicks,Treatment_Sale,Treatment_CR,Bayesian_Lift,Prob,Z-value,P-value,Freq_Lift
0,0,6.44%,6.84%,0,14881,949,6.38%,17250,1210,7.01%,10.0%,98.9%,-2.275028879,0.022904198,10.0%
1,0,6.44%,6.84%,1,2476,150,6.06%,2487,180,7.24%,19.3%,95.2%,-1.667580657,0.095399001,19.5%
2,0,6.44%,6.84%,2,23662,1503,6.35%,22913,1600,6.98%,9.9%,99.7%,-2.729996901,0.006333492,9.9%
3,0,6.44%,6.84%,3,30445,1929,6.34%,33089,2236,6.76%,6.6%,98.4%,-2.144522374,0.031991055,6.7%
4,0,6.44%,6.84%,4,45355,2925,6.45%,45970,3175,6.91%,7.1%,99.7%,-2.769103986,0.005621069,7.1%
5,0,6.44%,6.84%,5,14711,939,6.38%,14302,959,6.71%,5.0%,86.7%,-1.110266343,0.266884272,5.1%
6,0,6.44%,6.84%,6,7698,501,6.51%,8388,561,6.69%,2.7%,67.6%,-0.459112983,0.646153034,2.8%
7,0,6.44%,6.84%,7,19050,1210,6.35%,18871,1374,7.28%,14.6%,100.0%,-3.590732293,0.00032975,14.6%
8,0,6.44%,6.84%,8,18958,1234,6.51%,16963,1149,6.77%,4.1%,84.3%,-1.005354599,0.314726133,4.1%
9,0,6.44%,6.84%,9,11992,762,6.35%,13087,899,6.87%,8.1%,94.9%,-1.638766487,0.101261901,8.1%
10,1,3.65%,3.56%,0,45462,1705,3.75%,45363,1639,3.61%,-3.7%,13.6%,1.098713162,0.2718932,-3.7%
11,1,3.65%,3.56%,1,3833,127,3.31%,3854,146,3.79%,14.2%,86.9%,-1.124954978,0.260608113,14.3%
12,1,3.65%,3.56%,2,38648,1372,3.55%,35409,1261,3.56%,0.3%,53.3%,-0.082599899,0.934169682,0.3%
13,1,3.65%,3.56%,3,5667,217,3.83%,6408,237,3.70%,-3.4%,35.2%,0.37675265,0.706357432,-3.4%
14,1,3.65%,3.56%,4,28425,1045,3.68%,27919,992,3.55%,-3.3%,21.7%,0.783303914,0.433448666,-3.4%
15,1,3.65%,3.56%,5,10140,413,4.07%,10908,384,3.52%,-13.6%,1.8%,2.098824315,0.035832391,-13.6%
16,1,3.65%,3.56%,6,44548,1631,3.66%,41550,1495,3.60%,-1.7%,31.1%,0.494963453,0.620625918,-1.7%
17,1,3.65%,3.56%,7,14411,546,3.79%,13379,485,3.63%,-4.3%,23.6%,0.721367768,0.470683272,-4.3%
18,1,3.65%,3.56%,8,23585,875,3.71%,24885,894,3.59%,-3.2%,24.5%,0.689262372,0.490658173,-3.2%
19,1,3.65%,3.56%,9,17631,612,3.47%,18779,610,3.25%,-6.4%,11.9%,1.179950421,0.238019934,-6.4%
20,2,3.98%,4.50%,0,4479,186,4.15%,4304,191,4.44%,6.8%,74.5%,-0.658806065,0.510020312,6.9%
21,2,3.98%,4.50%,1,37746,1489,3.94%,37887,1718,4.53%,14.9%,100.0%,-4.024445325,5.71E-05,15.0%
22,2,3.98%,4.50%,2,10671,422,3.95%,11034,498,4.51%,14.1%,97.9%,-2.042407462,0.04111113,14.1%
23,2,3.98%,4.50%,3,46907,1903,4.06%,51503,2364,4.59%,13.1%,100.0%,-4.100865719,4.12E-05,13.1%
24,2,3.98%,4.50%,4,2170,107,4.93%,2126,87,4.09%,-16.8%,9.3%,1.323558451,0.185649732,-17.0%
25,2,3.98%,4.50%,5,9296,356,3.83%,8808,414,4.70%,22.7%,99.8%,-2.90156283,0.003713063,22.7%
26,2,3.98%,4.50%,6,31006,1255,4.05%,32544,1494,4.59%,13.4%,100.0%,-3.364004784,0.000768202,13.4%
27,2,3.98%,4.50%,7,1672,66,3.95%,1520,83,5.46%,37.9%,97.8%,-2.024004667,0.042969672,38.3%
28,2,3.98%,4.50%,8,39916,1665,4.17%,38151,1726,4.52%,8.5%,99.2%,-2.417788307,0.015615158,8.5%
29,2,3.98%,4.50%,9,20653,819,3.97%,24345,1059,4.35%,9.7%,97.9%,-2.032069403,0.04214663,9.7%
30,3,6.43%,6.00%,0,14965,1020,6.82%,15327,860,5.61%,-17.7%,0.0%,4.345589281,1.39E-05,-17.7%
31,3,6.43%,6.00%,1,31918,2123,6.65%,31090,1847,5.94%,-10.7%,0.0%,3.670215523,0.000242346,-10.7%
32,3,6.43%,6.00%,2,42039,2677,6.37%,43154,2635,6.11%,-4.1%,5.7%,1.580349494,0.114026851,-4.1%
33,3,6.43%,6.00%,3,17667,1149,6.50%,19244,1175,6.11%,-6.1%,5.8%,1.572004029,0.115949617,-6.1%
34,3,6.43%,6.00%,4,34406,2271,6.60%,34799,2148,6.17%,-6.5%,1.1%,2.302566464,0.021303248,-6.5%
35,3,6.43%,6.00%,5,49942,3160,6.33%,49782,3044,6.11%,-3.4%,8.2%,1.390295361,0.164439206,-3.4%
36,3,6.43%,6.00%,6,31489,2111,6.70%,35760,2091,5.85%,-12.8%,0.0%,4.579789194,4.65E-06,-12.8%
37,3,6.43%,6.00%,7,34757,2169,6.24%,33622,2043,6.08%,-2.6%,18.6%,0.892234387,0.372267314,-2.6%
38,3,6.43%,6.00%,8,38197,2486,6.51%,36914,2265,6.14%,-5.7%,1.8%,2.096576892,0.036031047,-5.7%
39,3,6.43%,6.00%,9,19086,1263,6.62%,18195,1103,6.06%,-8.4%,1.4%,2.198366498,0.027922999,-8.4%
40,4,4.92%,4.85%,0,37823,1881,4.97%,37145,1750,4.71%,-5.3%,4.7%,1.670042281,0.094910998,-5.3%
41,4,4.92%,4.85%,1,14257,677,4.75%,13184,645,4.89%,3.0%,71.1%,-0.555582832,0.57849607,3.0%
42,4,4.92%,4.85%,2,24756,1212,4.90%,26324,1285,4.88%,-0.3%,47.0%,0.074938362,0.940263754,-0.3%
43,4,4.92%,4.85%,3,45222,2256,4.99%,47688,2287,4.80%,-3.9%,8.6%,1.363252468,0.172802956,-3.9%
44,4,4.92%,4.85%,4,49684,2430,4.89%,48047,2283,4.75%,-2.8%,15.5%,1.016289672,0.309491465,-2.8%
45,4,4.92%,4.85%,5,45105,2259,5.01%,50653,2375,4.69%,-6.4%,1.1%,2.300095125,0.021442831,-6.4%
46,4,4.92%,4.85%,6,41779,2049,4.90%,40445,1957,4.84%,-1.3%,33.1%,0.437542411,0.661718025,-1.3%
47,4,4.92%,4.85%,7,20130,991,4.92%,18364,968,5.27%,7.1%,94.0%,-1.552518939,0.120538105,7.1%
48,4,4.92%,4.85%,8,40028,1992,4.98%,40517,1973,4.87%,-2.1%,24.1%,0.701526013,0.482974807,-2.1%
49,4,4.92%,4.85%,9,22554,1131,5.01%,21718,1042,4.80%,-4.3%,14.6%,1.055396735,0.291243916,-4.3%
50,5,4.69%,4.86%,0,26361,1254,4.76%,27314,1354,4.96%,4.2%,85.9%,-1.078112051,0.280983754,4.2%
51,5,4.69%,4.86%,1,33215,1508,4.54%,34481,1708,4.95%,9.1%,99.4%,-2.527379309,0.011491731,9.1%
52,5,4.69%,4.86%,2,22275,1027,4.61%,22381,1071,4.79%,3.8%,80.8%,-0.872639308,0.382859708,3.8%
53,5,4.69%,4.86%,3,45973,2152,4.68%,43966,2184,4.97%,6.1%,97.8%,-2.004788502,0.044985662,6.1%
